Date,Team,OppTeam,Time/Score
20240319,10 Colorado StateMen's Basketball Championship - Midwest Region - First Four,@  Virginia,"CSU 67, UVA 42"
20240319,16 WagnerMen's Basketball Championship - West Region - First Four,@  Howard,"WAG 71, HOW 68"
20240319,North TexasNIT - 1st Round,@ LSU,"UNT 84, LSU 77"
20240319,Boston CollegeNIT - 1st Round,@ Providence,"BC 62, PROV 57"
20240319,XavierNIT - 1st Round,@ Georgia,"UGA 78, XAV 76"
20240319,CornellNIT - 1st Round,@ Ohio State,"OSU 88, COR 83"
20240319,South FloridaNIT - 1st Round,@ UCF,"USF 83, UCF 77"
20240319,RichmondNIT - 1st Round,@ Virginia Tech,"VT 74, RICH 58"
20240319,MinnesotaNIT - 1st Round,@ Butler,"MINN 73, BUT 72"
20240319,Kansas StateNIT - 1st Round,@ Iowa,"IOWA 91, KSU 82"
20240319,UC IrvineNIT - 1st Round,@ Utah,"UTAH 84, UCI 75"
20240319,Texas SouthernCIT,@ Tarleton State,"TAR 82, TXSO 71"
20240319,Abilene ChristianCIT,@ Texas A&M-Corpus Christi,"ACU 73, AMCC 63"
20240320,16 GramblingMen's Basketball Championship - Midwest Region - First Four,@  Montana State,5:40 PM
20240320,10 ColoradoMen's Basketball Championship - South Region - First Four,@  Boise State,8:10 PM
20240320,Saint Joseph'sNIT - 1st Round,@ Seton Hall,6:00 PM
20240320,SMUNIT - 1st Round,@ Indiana State,6:00 PM
20240320,Loyola ChicagoNIT - 1st Round,@ Bradley,6:00 PM
20240320,UNLVNIT - 1st Round,@ Princeton,7:00 PM
20240320,Appalachian StateNIT - 1st Round,@ Wake Forest,7:00 PM
20240320,San FranciscoNIT - 1st Round,@ Cincinnati,8:00 PM
20240320,VCUNIT - 1st Round,@ Villanova,8:00 PM
20240320,Purdue Fort WayneCIT,@ Bowling Green,6:00 PM
20240320,Abilene ChristianCIT,@ Tarleton State,6:00 PM
20240320,Alabama A&MCIT,@ Austin Peay,7:00 PM
20240321,9 Michigan StateMen's Basketball Championship - West Region - 1st Round,@  Mississippi State,11:15 AM
20240321,11 DuquesneMen's Basketball Championship - East Region - 1st Round,@  BYU,11:40 AM
20240321,14 AkronMen's Basketball Championship - Midwest Region - 1st Round,@  Creighton,12:30 PM
20240321,15 Long Beach StateMen's Basketball Championship - West Region - 1st Round,@  Arizona,1:00 PM
20240321,16 WagnerMen's Basketball Championship - West Region - 1st Round,@  North Carolina,1:45 PM
20240321,14 Morehead StateMen's Basketball Championship - East Region - 1st Round,@  Illinois,2:10 PM
20240321,11 OregonMen's Basketball Championship - Midwest Region - 1st Round,@  South Carolina,3:00 PM
20240321,10 NevadaMen's Basketball Championship - West Region - 1st Round,@  Dayton,3:30 PM
20240321,10 Colorado StateMen's Basketball Championship - Midwest Region - 1st Round,@  Texas,5:50 PM
20240321,14 OaklandMen's Basketball Championship - South Region - 1st Round,@  Kentucky,6:10 PM
20240321,12 McNeeseMen's Basketball Championship - Midwest Region - 1st Round,@  Gonzaga,6:25 PM
20240321,15 South Dakota StateMen's Basketball Championship - East Region - 1st Round,@  Iowa State,6:35 PM
20240321,15 Saint Peter'sMen's Basketball Championship - Midwest Region - 1st Round,@  Tennessee,8:20 PM
20240321,11 NC StateMen's Basketball Championship - South Region - 1st Round,@  Texas Tech,8:40 PM
20240321,13 SamfordMen's Basketball Championship - Midwest Region - 1st Round,@  Kansas,8:55 PM
20240321,10 DrakeMen's Basketball Championship - East Region - 1st Round,@  Washington State,9:05 PM
20240322,9 NorthwesternMen's Basketball Championship - East Region - 1st Round,@  Florida Atlantic,11:15 AM
20240322,14 ColgateMen's Basketball Championship - West Region - 1st Round,@  Baylor,11:40 AM
20240322,12 UABMen's Basketball Championship - East Region - 1st Round,@  San Diego State,12:45 PM
20240322,15 Western KentuckyMen's Basketball Championship - South Region - 1st Round,@  Marquette,1:00 PM
20240322,16 StetsonMen's Basketball Championship - East Region - 1st Round,@  UConn,1:45 PM
20240322,11 New MexicoMen's Basketball Championship - West Region - 1st Round,@  Clemson,2:10 PM
20240322,13 YaleMen's Basketball Championship - East Region - 1st Round,@  Auburn,3:15 PM
20240322,TBDMen's Basketball Championship - South Region - 1st Round,@  Florida,3:30 PM
20240322,9 Texas A&MMen's Basketball Championship - South Region - 1st Round,@  Nebraska,5:50 PM
20240322,13 VermontMen's Basketball Championship - South Region - 1st Round,@  Duke,6:10 PM
20240322,TBDMen's Basketball Championship - Midwest Region - 1st Round,@  Purdue,6:25 PM
20240322,13 CharlestonMen's Basketball Championship - West Region - 1st Round,@  Alabama,6:35 PM
20240322,16 LongwoodMen's Basketball Championship - South Region - 1st Round,@  Houston,8:20 PM
20240322,12 James MadisonMen's Basketball Championship - South Region - 1st Round,@  Wisconsin,8:40 PM
20240322,9 TCUMen's Basketball Championship - Midwest Region - 1st Round,@  Utah State,8:55 PM
20240322,12 Grand CanyonMen's Basketball Championship - West Region - 1st Round,@  Saint Mary's,9:05 PM
20240323,TBDMen's Basketball Championship - West Region - 2nd Round,@ TBD,TBD
20240323,TBDMen's Basketball Championship - West Region - 2nd Round,@ TBD,TBD
20240323,TBDMen's Basketball Championship - South Region - 2nd Round,@ TBD,TBD
20240323,TBDMen's Basketball Championship - Midwest Region - 2nd Round,@ TBD,TBD
20240323,TBDMen's Basketball Championship - Midwest Region - 2nd Round,@ TBD,TBD
20240323,TBDMen's Basketball Championship - Midwest Region - 2nd Round,@ TBD,TBD
20240323,TBDMen's Basketball Championship - East Region - 2nd Round,@ TBD,TBD
20240323,TBDMen's Basketball Championship - East Region - 2nd Round,@ TBD,TBD
20240323,TBDNIT - 2nd Round,@ TBD,TBD
20240323,TBDNIT - 2nd Round,@ TBD,TBD
20240323,TBDNIT - 2nd Round,@ TBD,TBD
20240323,TBDNIT - 2nd Round,@ TBD,10:30 AM
20240323,Arkansas StateRo CBI - 1st Round,@ Bethune-Cookman,12:00 PM
20240323,UC San DiegoRo CBI - 1st Round,@ Chicago State,2:30 PM
20240323,Seattle URo CBI - 1st Round,@ Delaware State,4:30 PM
20240323,TBDCIT,@ Norfolk State,TBD
20240324,TBDMen's Basketball Championship - East Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - East Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - Midwest Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - South Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - South Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - South Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - West Region - 2nd Round,@ TBD,TBD
20240324,TBDMen's Basketball Championship - West Region - 2nd Round,@ TBD,TBD
20240324,TBDNIT - 2nd Round,@ TBD,2:00 PM
20240324,TBDNIT - 2nd Round,@ TBD,6:30 PM
20240324,TBDNIT - 2nd Round,@ TBD,8:00 PM
20240324,TBDNIT - 2nd Round,@ TBD,8:30 PM
20240324,Northern ColoradoRo CBI - 1st Round,@ Cleveland State,10:00 AM
20240324,MontanaRo CBI - 1st Round,@ Presbyterian,12:00 PM
20240324,FairfieldRo CBI - 1st Round,@ Little Rock,2:30 PM
20240324,QuinnipiacRo CBI - 1st Round,@ Evansville,4:30 PM
20240325,High PointRo CBI - Quarterfinal,@ TBD,11:00 AM
20240325,TBDRo CBI - Quarterfinal,@ TBD,1:00 PM
20240325,TBDRo CBI - Quarterfinal,@ TBD,3:30 PM
20240325,TBDRo CBI - Quarterfinal,@ TBD,5:30 PM
20240326,TBDNIT - Quarterfinal,@ TBD,6:00 PM
20240326,TBDNIT - Quarterfinal,@ TBD,8:00 PM
20240326,TBDRo CBI - Semifinal,@ TBD,6:00 PM
20240326,TBDRo CBI - Semifinal,@ TBD,8:00 PM
20240327,TBDNIT - Quarterfinal,@ TBD,6:00 PM
20240327,TBDNIT - Quarterfinal,@ TBD,8:00 PM
20240327,TBDRo CBI Championship,@ TBD,4:00 PM
20240328,TBDMen's Basketball Championship - East Region - Sweet 16,@ TBD,TBD
20240328,TBDMen's Basketball Championship - East Region - Sweet 16,@ TBD,TBD
20240328,TBDMen's Basketball Championship - West Region - Sweet 16,@ TBD,TBD
20240328,TBDMen's Basketball Championship - West Region - Sweet 16,@ TBD,TBD
20240329,TBDMen's Basketball Championship - South Region - Sweet 16,@ TBD,TBD
20240329,TBDMen's Basketball Championship - South Region - Sweet 16,@ TBD,TBD
20240329,TBDMen's Basketball Championship - Midwest Region - Sweet 16,@ TBD,TBD
20240329,TBDMen's Basketball Championship - Midwest Region - Sweet 16,@ TBD,TBD
20240330,TBDMen's Basketball Championship - West Region - Elite 8,@ TBD,TBD
20240330,TBDMen's Basketball Championship - East Region - Elite 8,@ TBD,TBD
20240331,TBDMen's Basketball Championship - Midwest Region - Elite 8,@ TBD,TBD
20240331,TBDMen's Basketball Championship - South Region - Elite 8,@ TBD,TBD
20240402,TBDNIT - Semifinal,@ TBD,6:00 PM
20240402,TBDNIT - Semifinal,@ TBD,8:30 PM
20240404,TBDNIT - Championship,@ TBD,6:00 PM
20240406,TBDMen's Basketball Championship - Final Four,@ TBD,TBD
20240406,TBDMen's Basketball Championship - Final Four,@ TBD,TBD
20240408,TBDMen's Basketball Championship - National Championship,@ TBD,TBD
